Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);SIO2(WT%);TIO2(WT%);ZRO2(WT%);B2O3(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);Y2O3(WT%);V2O3(WT%);NB2O3(WT%);TA2O5(WT%);WO3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);CS2O(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);;;;H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);CA(WT%);K(WT%);NA(WT%);LI(PPM);BE(PPM);B(PPM);C(PPM);F(PPM);NA(PPM);MG(PPM);AL(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);AR40(CCMSTP/G);AR40(MOL/G);AR40(PPB);K(PPM);CA(PPM);SC(PPM);;;;TI(PPM);;;;V(PPM);CR(PPM);MN(PPM);FE(PPM);CO(PPM);NI(PPM);CU(PPM);ZN(PPM);GA(PPM);GE(PPM);AS(PPM);SE(PPM);BR(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM): altern. values or methods;;;;AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);TE(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPM);AU(PPM);AU(PPB);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB206(PPM);BI(PPM);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;EPSILON_SR;EPSILON_SR_INI;RB87_SR86;PB206_PB204;PB206_PB204_INI;PB206_PB207;PB206_PB208;PB207_PB204;PB207_PB204_INI;PB207_PB206;PB208_PB204;PB208_PB204_INI;PB208_PB206;HF176_HF177;HF176_HF177_INI;EPSILON_HF_INI;LU176_HF177;YB176_HF177;AR36_AR39;AR36_AR40;AR37_AR39;AR38_AR39;AR39_AR40;AR40_AR36;AR40_AR39;PB206_U238;PB207_U235;PB208_TH232;TH232_PB204;TH232_U238;U235_PB204;U238_PB204;U238_PB206;D7LI(VS LSVEC);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D56FE(VS IRMM-014);D57FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);ORTHOCLASE(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA): altern. values or methods;;;;;;AGE_PB208_TH232(MA);
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.32;;;PRIMARY;;;;;;;;64.58;;;;18.99;;;;;;;;;;;0.1864;;0.3;;;1.1878;;;;;;9.75;EMP (EPMA);;;4.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.6168411620965;1.51002217056112;;;;;;58.4317631513668;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.33;;;PRIMARY;;;;;;;;64.59;;;;18.96;;;;;;;;;;;0.2097;;0.2327;;;1.209;;;;;;10.05;EMP (EPMA);;;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.8900396053976;1.15704818515302;;;;;;59.4981456290531;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.34;;;PRIMARY;;;;;;;;64.66;;;;19.4;;;;;;;;;;;0.1166;;0.3;;;1.1591;;;;;;9.79;EMP (EPMA);;;4.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.43521375381;1.5100438104901;;;;;;58.6723240186247;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.35;;;PRIMARY;;;;;;;;65.01;;;;18.95;;;;;;;;;;;0.1567;;0.3025;;;1.1717;;;;;;9.87;EMP (EPMA);;;4.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.128384156828;1.51753220826985;;;;;;58.9538262899601;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.36;;;PRIMARY;;;;;;;;64.96;;;;19.34;;;;;;;;;;;0.1824;;0.2672;;;1.1138;;;;;;9.98;EMP (EPMA);;;3.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.3615264422015;1.34904142449975;;;;;;59.9931519157447;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.37;;;PRIMARY;;;;;;;;65.34;;;;18.95;;;;;;;;;;;0.1731;;0.2963;;;1.0425;;;;;;10.09;EMP (EPMA);;;4.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.6972330151506;1.47276890204526;;;;;;59.714036119395;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.38;;;PRIMARY;;;;;;;;64.3;;;;19.18;;;;;;;;;;;0.1795;;0.3064;;;1.1165;;;;;;9.72;EMP (EPMA);;;4.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.845115238064;1.51903253643398;;;;;;57.3755532838278;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.39;;;PRIMARY;;;;;;;;64.64;;;;19.08;;;;;;;;;;;0.1376;;0.3049;;;1.1938;;;;;;9.91;EMP (EPMA);;;4.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.7898755032526;1.53059579815965;;;;;;59.2323622709399;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.40;;;PRIMARY;;;;;;;;65.07;;;;19.03;;;;;;;;;;;0.1497;;0.3315;;;1.193;;;;;;10.15;EMP (EPMA);;;4.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.7878524041121;1.62393883931798;;;;;;59.2017418363448;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.41;;;PRIMARY;;;;;;;;64.96;;;;18.93;;;;;;;;;;;0.1218;;0.2223;;;0.9961;;;;;;9.93;EMP (EPMA);;;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.9014751287517;1.10860308498686;;;;;;58.9614526730451;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.42;;;PRIMARY;;;;;;;;64.63;;;;19.02;;;;;;;;;;;0.1264;;0.2946;;;1.0772;;;;;;9.94;EMP (EPMA);;;4.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.290013827457;1.44634131789729;;;;;;58.104095001248;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.43;;;PRIMARY;;;;;;;;64.18;;;;19.03;;;;;;;;;;;0.1176;;0.252;;;1.0104;;;;;;10.13;EMP (EPMA);;;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.9436362828896;1.22885553866892;;;;;;58.8155337018339;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.44;;;PRIMARY;;;;;;;;64.99;;;;19.23;;;;;;;;;;;0.1223;;0.2455;;;0.993;;;;;;9.92;EMP (EPMA);;;4.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.0305878370076;1.24047174612751;;;;;;59.6800748300889;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.45;;;PRIMARY;;;;;;;;65.2;;;;19.08;;;;;;;;;;;0.1479;;0.2359;;;1.0123;;;;;;10.25;EMP (EPMA);;;4.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.6770794410151;1.12546863596785;;;;;;58.225285630246;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.46;;;PRIMARY;;;;;;;;64.16;;;;19.37;;;;;;;;;;;0.1292;;0.3067;;;1.0355;;;;;;10;EMP (EPMA);;;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.9937473786735;1.5292836423865;;;;;;59.3685679984029;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.47;;;PRIMARY;;;;;;;;65.05;;;;18.88;;;;;;;;;;;0.1129;;0.2279;;;0.9176;;;;;;9.94;EMP (EPMA);;;4.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.6474502027829;1.14251416553391;;;;;;59.3315861830669;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.48;;;PRIMARY;;;;;;;;65.02;;;;19.01;;;;;;;;;;;0.1386;;0.2229;;;1.0026;;;;;;10.02;EMP (EPMA);;;4.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.8612277014267;1.10253958466562;;;;;;59.0111598142011;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.49;;;PRIMARY;;;;;;;;65.35;;;;19.11;;;;;;;;;;;0.113;;0.2263;;;0.7685;;;;;;9.85;EMP (EPMA);;;3.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.0488179515415;1.16122348878542;;;;;;60.1796690306734;;;;;;;;;;;;;;;;;;;;;;;;;
